         x          y        psi
    0.5941     0.5924     0.5885
    0.5779     0.5695     0.5639
    0.5580     0.5441     0.5441
    0.5385     0.5300     0.5226
    0.5123     0.5074     0.5002
    0.4966     0.4922     0.4803
    0.4794     0.4704     0.4643
    0.4623     0.4552     0.4502
    0.4395     0.4355     0.4309
    0.4207     0.4187     0.4126
    0.4043     0.4021     0.3957
    0.3864     0.3864     0.3766
    0.3724     0.3677     0.3614
    0.3602     0.3542     0.3483
    0.3416     0.3370     0.3312
    0.3273     0.3204     0.3163
    0.3046     0.2992     0.2938
    0.2892     0.2813     0.2734
    0.2678     0.2636     0.2542
    0.2534     0.2509     0.2459
    0.2397     0.2314     0.2306
    0.2217     0.2114     0.2045
    0.2006     0.1951     0.1893
    0.1832     0.1775     0.1747
    0.1655     0.1613     0.1605
    0.1611     0.1608     0.1609
    0.1609     0.1613     0.1618
    0.1620     0.1622     0.1622
    0.1628     0.1631     0.1636
    0.1651     0.1651     0.1664
    0.1670     0.1681     0.1697
    0.1699     0.1704     0.1711
    0.1715     0.1715     0.1715
    0.1715     0.1710     0.1679
    0.1622     0.1533     0.1428
    0.1270     0.1184     0.0973
    0.0973     0.0877     0.0784
    0.0643     0.0465     0.0393
    0.0243     0.0139    -0.0084
   -0.0084    -0.0187    -0.0286
   -0.0398    -0.0441    -0.0523
   -0.0660    -0.0832    -0.0832
   -0.1028    -0.1273    -0.1417
   -0.1438    -0.1500    -0.1614
   -0.1860    -0.1860    -0.2245
   -0.2360    -0.2406    -0.2406
   -0.2443    -0.2427    -0.2424
   -0.2435    -0.2428    -0.2424
   -0.2421    -0.2425    -0.2426
   -0.2421    -0.2423    -0.2422
   -0.2423    -0.2418    -0.2420
   -0.2422    -0.2418    -0.2417
   -0.2417    -0.2417    -0.2416
   -0.2421    -0.2417    -0.2417
   -0.2416    -0.2415    -0.2415
   -0.2415    -0.2414    -0.2414
   -0.2414    -0.2414    -0.2414
   -0.2414    -0.2413    -0.2413
   -0.2413    -0.2413    -0.2413
   -0.2413    -0.2413    -0.2412
   -0.2412    -0.2412    -0.2411
   -0.2412    -0.2412    -0.2411
   -0.2411    -0.2412    -0.2411
   -0.2411    -0.2411    -0.2411
   -0.2411    -0.2411     0.1758
    0.1757     0.1758     0.1757
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1757     0.1757     0.1757
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1757     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1757     0.1758     0.1758
    0.1758     0.1757     0.1758
    0.1758     0.1758     0.1758
    0.1757     0.1758     0.1758
    0.1758     0.1758     0.1757
    0.1758     0.1757     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1757
    0.1757     0.1757     0.1758
    0.1757     0.1758     0.1757
    0.1757     0.1758     0.1757
    0.1757     0.1758     0.1758
    0.1758     0.1757     0.1757
    0.1758     0.1758     0.1757
    0.1758     0.1758     0.1758
    0.1757     0.1757     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1757     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1757
    0.1758     0.1758     0.1757
    0.1758     0.1758     0.1757
    0.1758     0.1758     0.1758
    0.1758     0.1758     0.1758
    0.1757     0.1761     0.1810
    0.1862     0.1945     0.2037
    0.2147     0.2287     0.2377
    0.2524     0.2683     0.2714
    0.3094     0.3225     0.3352
    0.3488     0.3682     0.3923
    0.3988     0.4350     0.4471
    0.4724     0.4841     0.4991
    0.5085     0.5287     0.5287
    0.5341     0.5339     0.5334
    0.5331     0.5332     0.5331
    0.5332     0.5333     0.5332
    0.5331     0.5331     0.5334
    0.5331     0.5330     0.5330
    0.5328     0.5313     0.5314
    0.5312     0.5291     0.5286
    0.5282     0.5285     0.5281
    0.5279     0.5275     0.5275
    0.5271     0.5269     0.5292
    0.5403     0.5519     0.5651
    0.5709     0.5882     0.5998
    0.6352     0.6494     0.6494
    0.6816     0.7009     0.7145
    0.7288     0.7426     0.7564
    0.7703     0.7870     0.8039
    0.8077     0.8314     0.8519
    0.8620     0.8790     0.8991
    0.9189     0.9288     0.9428
    0.9555     0.9589     0.9698
    0.9969     0.9969     1.0328
    1.0401     1.0648     1.0837
    1.0871     1.1249     1.1281
    1.1571     1.1723     1.1939
    1.1979     1.2164     1.2252
    1.2504     1.2916     1.2993
    1.3247     1.3326     1.3653
    1.3693     1.3767     1.3922
    1.4067     1.4211     1.4516
    1.4672     1.4851     1.5096
    1.5278     1.5533     1.5820
    1.5820     1.6045     1.6298
    1.6489     1.6552     1.6552
    1.6920     1.7111     1.7278
    1.7423     1.7567     1.7698
    1.7846     1.7883     1.7991
    1.8206     1.8465     1.8613
    1.8783     1.8869     1.8951
    1.8986     1.8974     1.8975
    1.8966     1.8953     1.8927
    1.8926     1.8923     1.8916
    1.8918     1.8911     1.8905
    1.8903     1.8917     1.8950
    1.8950     1.9037     1.9132
    1.9149     1.9352     1.9526
    1.9621     1.9729     1.9783
    1.9844     2.0113     2.0187
    2.0308     2.0431     2.0607
    2.0607     2.0699     2.0816
    2.0845     2.0972     2.0972
    2.1246     2.1373     2.1456
    2.1496     2.1563     2.1731
    2.1869     2.1936     2.2035
    2.2162     2.2290     2.2376
    2.2564     2.2657     2.2723
    2.2797     2.2907     2.3012
    2.3029     2.3172     2.3343
    2.3424     2.3573     2.3649
    2.3667     2.3667     2.3666
    2.3664     2.3670     2.3654
    2.3623     2.3580     2.3578
    2.3552     2.3538     2.3518
    2.3517     2.3516     2.3517
    2.3517     2.3610     2.3719
    2.3778     2.3842     2.3955
    2.4079     2.4211     2.4324
    2.4474     2.4600     2.4727
    2.4852     2.4987     2.5129
    2.5265     2.5265     2.5619
    2.5654     2.5907     2.5907
    2.6202     2.6348     2.6500
    2.6686     2.6944     2.7091
    2.7386     2.7386     2.7685
    2.7685     2.7834     2.8129
    2.8129     2.8531     2.8720
    2.8860     2.9012     2.9180
    2.9406     2.9508     2.9679
    2.9859     3.0105     3.0264
    3.0296     3.0493     3.0621
    3.0725     3.0780     3.0803
    3.0792     3.0792     3.0786
    3.0781     3.0782     3.0758
    3.0743     3.0744     3.0746
    3.0746     3.0744     3.0741
    3.0742     3.0742     3.0742
    3.0734     3.0734     3.0726
    3.0729     3.0729     3.0731
    3.0739     3.0748     3.0752
    3.0744     3.0748     3.0748
    3.0743     3.0777     3.0777
    3.0824     3.0875     3.0939
    3.1079     3.1079     3.1243
    3.1318     3.1378     3.1419
    3.1611     3.1681     3.1725
    3.1850     3.1990     3.2086
    3.2202     3.2360     3.2475
    3.2578     3.2667     3.2793
    3.2925     3.2925     3.3092
    3.3293     3.3411     3.3635
    3.3759     3.3825     3.3990
    3.3990     3.4177     3.4296
    3.4405     3.4531     3.4652
    3.4756     3.4978     3.4999
    3.5033     3.5030     3.5027
    3.5041     3.5044     3.5070
    3.5076     3.5079     3.5094
    3.5103     3.5112     3.5124
    3.5166     3.5168     3.5168
    3.5165     3.5164     3.5143
    3.5121     3.5092     3.5092
    3.5088     3.5073     3.5011
    3.4975     3.4944     3.4871
    3.4825     3.4803     3.4772
    3.4727     3.4670     3.4629
    3.4585     3.4545     3.4483
    3.4428     3.4391     3.4391
    3.4349     3.4333     3.4304
    3.4260     3.4238     3.4183
    3.4158     3.4133     3.4112
    3.4082     3.4065     3.4047
    3.4034     3.4008     3.3984
    3.3973     3.3930     3.3923
    3.3893     3.3886     3.3886
    3.3884     3.3887     3.3886
    3.3887     3.3896     3.3903
    3.3930     3.3930     3.3968
    3.3988     3.3993     3.3999
    3.4026     3.4062     3.4075
    3.4079     3.4078     3.4078
    3.4078     3.4077     3.4077
    3.4022     3.4006     3.3855
    3.3736     3.3661     3.3408
    3.3293     3.3234     3.3129
    3.3129     3.2937     3.2937
    3.2699     3.2565     3.2288
    3.2288     3.2261     3.2091
    3.1891     3.1792     3.1693
    3.1537     3.1395     3.1300
    3.1207     3.1120     3.1032
    3.0874     3.0768     3.0663
    3.0570     3.0467     3.0331
    3.0331     3.0209     3.0156
    3.0075     2.9987     2.9903
    2.9789     2.9737     2.9643
    2.9523     2.9455     2.9337
    2.9291     2.9141     2.9052
    2.8889     2.8809     2.8774
    2.8618     2.8590     2.8554
    2.8527     2.8528     2.8532
    2.8557     2.8562     2.8562
    2.8574     2.8589     2.8615
    2.8627     2.8646     2.8654
    2.8660     2.8667     2.8673
    2.8674     2.8672     2.8672
    2.8672     2.8674     2.8676
    2.8676     2.8676     2.8676
    2.8679     2.8686     2.8692
    2.8690     2.8690     2.8690
    2.8690     2.8689     2.8675
    2.8627     2.8454     2.8383
    2.8286     2.8054     2.7939
    2.7939     2.7768     2.7768
    2.7534     2.7414     2.7235
    2.7149     2.6956     2.6899
    2.6776     2.6589     2.6397
    2.6205     2.6133     2.6045
    2.5949     2.5811     2.5684
    2.5560     2.5393     2.5200
    2.5108     2.4985     2.4985
    2.4956     2.4959     2.4966
    2.4963     2.4959     2.4964
    2.4964     2.4951     2.4946
    2.4935     2.4904     2.4899
    2.4873     2.4853     2.4847
    2.4829     2.4829     2.4829
    2.4832     2.4832     2.4831
    2.4828     2.4828     2.4832
    2.4836     2.4831     2.4842
    2.4847     2.4849     2.4860
    2.4860     2.4892     2.4892
    2.4922     2.4941     2.4946
    2.4950     2.4969     2.4982
    2.5003     2.5023     2.5023
    2.5034     2.5066     2.5076
    2.5085     2.5125     2.5125
    2.5154     2.5162     2.5190
    2.5196     2.5201     2.5206
    2.5220     2.5291     2.5320
    2.5320     2.5384     2.5384
    2.5511     2.5653     2.5745
    2.5813     2.5885     2.5968
    2.5985     2.6098     2.6204
    2.6298     2.6318     2.6422
    2.6492     2.6564     2.6678
    2.6698     2.6719     2.6766
    2.6762     2.6762     2.6759
    2.6753     2.6753     2.6745
    2.6735     2.6708     2.6692
    2.6688     2.6685     2.6668
    2.6637     2.6629     2.6620
    2.6607     2.6608     2.6609
    2.6607     2.6612     2.6617
    2.6624     2.6643     2.6652
    2.6666     2.6680     2.6693
    2.6701     2.6712     2.6728
    2.6739     2.6760     2.6763
    2.6769     2.6785     2.6792
    2.6803     2.6804     2.6803
    2.6802     2.6801     2.6801
    2.6802     2.6801     2.6801
    2.6801     2.6800     2.6801
    2.6801     2.6801     2.6801
    2.6800     2.6800     2.6800
    2.6800     2.6800     2.6800
    2.6799     2.6800     2.6800
    2.6800     2.6800     2.6800
    2.6800     2.6800     2.6800
    2.6800     2.6800     2.6800
    2.6799     2.6800     2.6800
    2.6800     2.6799     2.6800
    2.6804     2.6903     2.7006
    2.7102     2.7223     2.7329
    2.7476     2.7566     2.7687
    2.7804     2.7918     2.8027
    2.8024     2.8024     2.8021
    2.8023     2.8023     2.8023
    2.8010     2.7877     2.7782
    2.7679     2.7512     2.7453
    2.7453     2.7301     2.7178
    2.6999     2.6905     2.6776
    2.6647     2.6378     2.6180
    2.6079     2.5942     2.5835
    2.5665     2.5665     2.5363
    2.5222     2.5154     2.4906
    2.4759     2.4455     2.4368
    2.4368     2.4029     2.3876
    2.3771     2.3701     2.3701
    2.3334     2.3233     2.3098
    2.2983     2.2943     2.2938
    2.2931     2.2940     2.2941
    2.2932     2.2941     2.2941
    2.2942     2.2936     2.2929
    2.2917     2.2914     2.2908
    2.2894     2.2890     2.2889
    2.2890     2.2889     2.2891
    2.2891     2.2891     2.2892
    2.2890     2.2886     2.2853
    2.2810     2.2767     2.2726
    2.2611     2.2578     2.2567
    2.2526     2.2420     2.2362
    2.2308     2.2261     2.2201
    2.2121     2.2075     2.1989
    2.1890     2.1837     2.1791
